101/DT_1B040B3 | 행정구역(시군구)별 주민등록세대수 | 인구 > 주민등록인구현황
667/DT_66701_B000016 | 읍면동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도고성군기본통계 > 인구
668/DT_66801_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도양양군기본통계 > 인구
671/DT_67101_B000039 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도청주시기본통계 > 인구
672/DT_672003_A008 | 읍면동별 청년 1인세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 세대
672/DT_672003_A012 | 읍면동별 중·장년층 1인세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 세대
672/DT_672003_A016 | 읍면동별 노인 1인세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 세대
672/DT_672003_B001A | 읍면동별 1인세대 주택 소유 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 주거
672/DT_672003_B004A | 청년 1인세대 읍면동별 주택 소유 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 주거
672/DT_672003_B006A | 중·장년 1인세대 읍면동별 주택 소유 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 주거
672/DT_672003_B009 | 노인 1인세대 읍면동별 주택 소유 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 주거
672/DT_672003_C002 | 읍면동별 1인세대 국민기초생활보장 수급대상자 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 복지
672/DT_672003_C010 | 읍면동별 1인세대 국민기초생활보장 수급대상자 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 복지
672/DT_672003_C017A | 읍면동별 장애인 등록 1인세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청북도 > 충주시1인세대통계 > 2021년 > 복지
673/DT_67301_B000017 | 읍면동별 세대 및 등록인구 | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도제천시기본통계 > 인구
676/DT_67601_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도옥천군기본통계 > 인구
677/DT_67701_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도영동군기본통계 > 인구
678/DT_67801_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도진천군기본통계 > 인구
679/DT_67901_B000016 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도괴산군기본통계 > 인구
